"Índice","Código","Último","Máxima","Mínima","Var.","Var.%","Hora"
"Dow 30","DJI","24.133,78","24.207,65","23.840,61","+358,51","+1,51%","27/04"
"S&P 500","US500","2.878,48","2.887,72","2.852,89","+41,74","+1,47%","27/04"
"Nasdaq","IXIC","8.730,16","8.754,57","8.697,37","+95,64","+1,11%","27/04"
"Russell 2000","US2000","1.287,89","1.289,18","1.243,47","+54,83","+4,45%","27/04"
"S&P 500 VIX","VIX","32,14","33,22","31,90","-1,15","-3,45%","07:55:58"
"S&P/TSX","TSX","14.642,11","14.649,60","14.404,64","+221,75","+1,54%","27/04"
"Ibovespa","BVSP","78.238,60","78.562,71","75.326,58","+2.907,99","+3,86%","27/04"
"S&P/BMV IPC","MXX","34.968,09","35.058,41","34.488,41","+381,27","+1,10%","27/04"
"DAX","DE30","10.822,45","10.878,39","10.646,40","+162,46","+1,52%","07:56:38"
"FTSE 100","UK100","5.938,40","5.944,80","5.834,60","+91,61","+1,57%","07:56:37"
"CAC 40","FCHI","4.568,33","4.582,03","4.493,51","+63,07","+1,40%","07:56:30"
"Euro Stoxx 50","STOXX50","2.931,35","2.942,63","2.879,25","+49,24","+1,71%","07:56:38"
"AEX","AEX","519,05","520,49","512,15","+6,86","+1,34%","07:56:30"
"IBEX 35","ES35","6.795,00","6.814,00","6.704,00","+63,20","+0,94%","07:56:34"
"FTSE MIB","IT40","17.813,50","17.876,50","17.389,50","+433,29","+2,49%","07:56:37"
"SMI","SWI20","9.914,27","9.916,00","9.780,44","+155,45","+1,59%","07:56:38"
"PSI 20","PSI20","4.188,55","4.188,55","4.105,98","+51,98","+1,26%","07:41:30"
"BEL 20","BFX","3.097,30","3.099,60","3.033,80","+60,86","+2,00%","07:56:29"
"ATX","ATX","2.175,06","2.176,84","2.105,97","+59,93","+2,83%","07:41:36"
"OMXS30","OMXS30","1.562,40","1.564,50","1.538,26","+22,88","+1,49%","07:41:00"
"MOEX","IMOEX","2.616,71","2.628,65","2.566,92","+45,80","+1,78%","07:56:39"
"RTSI","IRTS","1.115,52","1.120,50","1.081,09","+31,84","+2,94%","07:56:35"
"WIG20","WIG20","1.614,75","1.622,03","1.579,94","+22,78","+1,43%","07:56:00"
"Budapest SE","BUX","33.196,85","33.458,30","32.982,33","+0,00","+0,00%","27/04"
"BIST 100","XU100","101.555,79","101.917,52","100.663,91","+288,43","+0,28%","07:41:40"
"TA 35","TA35","1.415,35","1.427,14","1.405,10","+8,81","+0,63%","27/04"
"Tadawul All Share","TASI","6.884,82","6.884,82","6.809,36","+57,02","+0,84%","07:19:00"
"Nikkei 225","JP225","19.771,19","19.841,78","19.638,48","-12,03","-0,06%","03:00:00"
"S&P/ASX 200","AXJO","5.313,10","5.373,80","5.272,80","-8,30","-0,16%","03:44:44"
"Shanghai","SSEC","2.810,02","2.821,75","2.758,25","-5,47","-0,19%","04:59:00"
"SZSE Component","SZI","10.501,15","10.547,75","10.194,15","+48,98","+0,47%","05:29:03"
"China A50","FTXIN9","13.287,17","13.328,41","13.059,27","+131,98","+1,00%","04:01:00"
"DJ Shanghai","DJSH","409,76","411,16","402,08","-0,10","-0,02%","05:09:24"
"Hang Seng","HK50","24.575,96","24.318,81","24.030,54","+295,82","+1,22%","04:59:59"
"Taiwan Weighted","TWII","10.616,06","10.620,52","10.537,71","+48,79","+0,46%","02:33:00"
"SET","SETI","1.274,99","1.283,01","1.260,96","+7,58","+0,60%","06:57:00"
"KOSPI","KS11","1.934,09","1.941,79","1.911,63","+11,32","+0,59%","06:03:40"
"IDX Composite","JKSE","4.529,55","4.532,38","4.494,47","+16,41","+0,36%","05:15:00"
"Nifty 50","NSEI","9.380,90","9.404,40","9.260,00","+98,60","+1,06%","07:02:39"
"BSE Sensex","BSESN","32.114,52","32.199,91","31.661,34","+371,44","+1,17%","07:56:37"
"HNX 30","HNX30","201,75","204,61","200,64","0,00","0,00%","27/04"
